packet_size,request_rate,source_ip,destination_ip,protocol_type
294,562.0804454027175,67.37.187.14,192.168.1.1,TCP
163,450.0206581904818,76.2.152.8,192.168.1.1,TCP
1354,606.164943932728,206.136.151.44,192.168.1.1,TCP
107,166.34413817043477,30.45.3.38,192.168.1.1,TCP
984,725.2276838598963,237.211.33.34,192.168.1.1,TCP
739,416.39366051819525,170.23.108.36,192.168.1.1,TCP
1374,106.95880518379076,33.242.45.16,192.168.1.1,TCP
1182,488.94401452029894,21.206.238.16,192.168.1.1,TCP
1157,906.465170627598,10.178.66.17,192.168.1.1,TCP
1265,860.5770778230784,52.187.220.48,192.168.1.1,TCP
378,987.4199312254435,73.115.71.50,192.168.1.1,TCP
70,468.42641903730015,134.18.66.17,192.168.1.1,TCP
143,922.3401216842423,226.44.239.33,192.168.1.1,TCP
1093,693.5519207650322,92.92.249.43,192.168.1.1,TCP
1201,625.4404524914477,4.38.77.40,192.168.1.1,TCP
538,444.2307728235838,75.118.8.12,192.168.1.1,TCP
1365,804.7021554124381,222.197.65.11,192.168.1.1,TCP
1488,631.5934148025599,35.187.81.13,192.168.1.1,TCP
508,670.6784887700624,243.14.219.46,192.168.1.1,TCP
390,369.85525922799917,214.210.79.31,192.168.1.1,TCP
539,352.61561707862046,157.68.115.11,192.168.1.1,TCP
70,921.7564596887945,109.19.15.7,192.168.1.1,TCP
1030,489.6249921174864,74.17.206.35,192.168.1.1,TCP
195,372.10023593722997,72.137.167.7,192.168.1.1,TCP
364,155.0367802290317,109.84.166.50,192.168.1.1,TCP
1261,932.2619166029141,153.142.168.30,192.168.1.1,TCP
1164,554.4570710679277,229.6.112.11,192.168.1.1,TCP
1188,116.83523908597579,246.210.16.48,192.168.1.1,TCP
577,626.4068589609573,203.133.203.40,192.168.1.1,TCP
1048,457.6185940983789,179.158.164.45,192.168.1.1,TCP
1361,235.83127257727682,58.41.178.40,192.168.1.1,TCP
1375,805.3330937141396,45.247.200.9,192.168.1.1,TCP
188,488.92175414018476,238.148.167.50,192.168.1.1,TCP
1395,176.85927957864055,117.173.8.7,192.168.1.1,TCP
285,434.95688087638587,159.78.187.36,192.168.1.1,TCP
1478,691.1466686273303,74.196.214.18,192.168.1.1,TCP
1279,836.6096143952975,196.89.25.2,192.168.1.1,TCP
1258,605.5199132934866,177.37.27.32,192.168.1.1,TCP
915,191.53587655772805,40.222.211.20,192.168.1.1,TCP
1181,477.489634997002,98.240.156.2,192.168.1.1,TCP
1305,869.4874496570013,244.206.181.35,192.168.1.1,TCP
1278,762.4056323904719,172.165.232.43,192.168.1.1,TCP
1464,643.1491453145943,54.193.205.41,192.168.1.1,TCP
214,470.4282876053699,145.99.126.46,192.168.1.1,TCP
1318,762.9318392057622,95.255.102.35,192.168.1.1,TCP
556,936.7662915539007,203.188.128.39,192.168.1.1,TCP
856,969.4750511545246,101.48.236.45,192.168.1.1,TCP
1112,941.5396956727124,230.185.101.1,192.168.1.1,TCP
1137,203.9385712790704,98.114.102.6,192.168.1.1,TCP
625,232.06595527904824,7.182.198.17,192.168.1.1,TCP
1185,388.8289779414816,178.155.127.17,192.168.1.1,TCP
410,409.0787762052679,10.221.146.50,192.168.1.1,TCP
461,281.98317757232314,28.127.25.15,192.168.1.1,TCP
927,634.6345070573522,92.232.104.32,192.168.1.1,TCP
1046,742.4324280543285,28.40.57.18,192.168.1.1,TCP
569,670.6185312449752,93.3.216.3,192.168.1.1,TCP
203,325.27809143841944,67.238.42.40,192.168.1.1,TCP
816,270.00950407156523,239.232.150.1,192.168.1.1,TCP
1132,898.5946953123532,22.7.95.9,192.168.1.1,TCP
753,985.6559368287271,108.195.145.25,192.168.1.1,TCP
861,792.0535445211053,36.172.183.3,192.168.1.1,TCP
517,696.1462206171785,205.147.127.13,192.168.1.1,TCP
851,210.26145241227246,34.215.248.2,192.168.1.1,TCP
742,322.499569608668,121.115.169.28,192.168.1.1,TCP
714,463.4650738708987,167.180.88.32,192.168.1.1,TCP
493,370.5307206852573,168.225.105.34,192.168.1.1,TCP
301,165.19722153156357,195.47.111.15,192.168.1.1,TCP
518,195.96707319359427,130.185.24.41,192.168.1.1,TCP
548,883.6420581347725,121.59.180.13,192.168.1.1,TCP
436,129.0650819901938,135.42.47.36,192.168.1.1,TCP
