packet_size,request_rate,ip.src,ip.dst,_ws.col.Protocol,tcp.dstport,udp.dstport
75,441.7274746595784,177.17.241.201,192.168.1.1,ICMP,,
45,139.3246064498043,131.209.119.47,192.168.1.1,ICMP,,
67,645.724322528943,107.163.160.120,192.168.1.1,ICMP,,
93,498.98455996289334,101.12.79.204,192.168.1.1,ICMP,,
77,861.4464970603717,23.21.91.56,192.168.1.1,ICMP,,
55,215.2760295479528,138.6.27.129,192.168.1.1,ICMP,,
74,186.45402335752067,16.77.71.38,192.168.1.1,ICMP,,
72,837.2685871767725,225.69.104.34,192.168.1.1,ICMP,,
92,325.3697150443487,187.70.206.32,192.168.1.1,ICMP,,
59,619.8565222827351,41.244.109.21,192.168.1.1,ICMP,,
43,952.0505190633256,20.179.134.210,192.168.1.1,ICMP,,
66,989.1236137237945,169.22.149.31,192.168.1.1,ICMP,,
64,734.5780844194682,153.236.92.179,192.168.1.1,ICMP,,
52,191.9294703009379,122.63.104.78,192.168.1.1,ICMP,,
70,954.7607142849491,40.32.61.251,192.168.1.1,ICMP,,
60,756.1739291637055,209.35.44.83,192.168.1.1,ICMP,,
99,805.3717037875301,92.129.142.102,192.168.1.1,ICMP,,
62,953.3273680096627,36.130.86.251,192.168.1.1,ICMP,,
59,770.2471523488922,78.165.178.87,192.168.1.1,ICMP,,
51,788.9677722333407,221.193.236.28,192.168.1.1,ICMP,,
43,358.4989455996462,215.69.179.146,192.168.1.1,ICMP,,
50,790.9224957504114,224.112.181.199,192.168.1.1,ICMP,,
59,685.1318659473806,77.57.102.184,192.168.1.1,ICMP,,
63,336.55316681038954,60.108.58.185,192.168.1.1,ICMP,,
44,463.69568565133574,49.142.255.165,192.168.1.1,ICMP,,
82,550.1711730880878,12.13.165.217,192.168.1.1,ICMP,,
88,828.2187644621251,27.94.164.28,192.168.1.1,ICMP,,
48,219.10280101633253,69.177.208.47,192.168.1.1,ICMP,,
70,714.0894655899176,26.115.29.73,192.168.1.1,ICMP,,
73,802.8729090582866,162.68.228.63,192.168.1.1,ICMP,,
79,126.69010127452086,31.249.101.7,192.168.1.1,ICMP,,
85,518.8487616196101,27.82.178.249,192.168.1.1,ICMP,,
80,424.72807583650535,253.89.119.120,192.168.1.1,ICMP,,
65,317.57616323981745,33.112.30.88,192.168.1.1,ICMP,,
61,441.76884119162423,103.154.2.198,192.168.1.1,ICMP,,
88,908.8479980218234,61.25.118.217,192.168.1.1,ICMP,,
91,355.3249345811314,26.28.172.78,192.168.1.1,ICMP,,
