packet_size,request_rate,source_ip,destination_ip,protocol_type
61,774.4832537863625,253.211.163.18,192.168.1.1,ICMP
73,478.84214700567617,114.87.19.93,192.168.1.1,ICMP
52,367.7945314457593,88.222.134.83,192.168.1.1,ICMP
63,284.10882048051405,48.127.133.17,192.168.1.1,ICMP
64,119.0487120011854,51.68.101.140,192.168.1.1,ICMP
49,424.18659523567106,30.95.9.29,192.168.1.1,ICMP
78,498.44366092083374,66.118.19.79,192.168.1.1,ICMP
79,306.8406779362978,254.81.109.136,192.168.1.1,ICMP
44,962.4322840298671,162.223.150.52,192.168.1.1,ICMP
48,615.3549250366352,207.137.146.82,192.168.1.1,ICMP
74,390.1908356575098,130.212.237.103,192.168.1.1,ICMP
41,442.16425107717106,234.117.237.176,192.168.1.1,ICMP
57,599.5265434606022,221.221.182.193,192.168.1.1,ICMP
62,675.3151980710123,156.79.56.81,192.168.1.1,ICMP
96,251.4919837822527,108.223.117.52,192.168.1.1,ICMP
93,625.0271326017755,137.240.230.90,192.168.1.1,ICMP
59,508.5653873801243,206.248.5.93,192.168.1.1,ICMP
90,757.2035686311795,69.89.106.133,192.168.1.1,ICMP
72,155.11518109267473,200.105.103.228,192.168.1.1,ICMP
56,786.3717854646981,38.222.47.80,192.168.1.1,ICMP
41,406.05386452509435,223.61.193.210,192.168.1.1,ICMP
68,630.7978396726503,84.20.248.169,192.168.1.1,ICMP
63,961.9389556676698,81.142.162.7,192.168.1.1,ICMP
64,501.24811612314437,219.224.219.76,192.168.1.1,ICMP
74,823.6471255020734,141.164.28.111,192.168.1.1,ICMP
92,999.2147774102559,4.42.57.164,192.168.1.1,ICMP
54,659.9826565403348,162.4.7.60,192.168.1.1,ICMP
93,307.36728565597355,33.211.250.63,192.168.1.1,ICMP
52,350.73142873847263,59.186.67.90,192.168.1.1,ICMP
99,101.65176559847853,90.29.35.200,192.168.1.1,ICMP
69,154.27732256927655,53.209.71.54,192.168.1.1,ICMP
65,672.3655205077151,154.105.124.154,192.168.1.1,ICMP
98,849.1217037076533,185.190.9.111,192.168.1.1,ICMP
91,693.0491420183062,69.241.53.39,192.168.1.1,ICMP
91,201.5275646118838,15.199.175.146,192.168.1.1,ICMP
65,835.5326696108808,132.18.2.25,192.168.1.1,ICMP
88,572.5109606468192,239.165.209.56,192.168.1.1,ICMP
77,416.36143631082575,95.197.115.127,192.168.1.1,ICMP
46,311.53414436555636,31.118.173.246,192.168.1.1,ICMP
