packet_size,request_rate,ip.src,ip.dst,_ws.col.Protocol,tcp.dstport,udp.dstport
1116,4.347222532215046,81.183.184.72,192.168.1.1,UDP,,
1215,1.070054537433952,214.68.181.6,192.168.1.1,ICMP,,
878,2.8325065857145804,195.208.244.152,192.168.1.1,UDP,80.0,
1241,0.7831004916040591,88.209.231.143,192.168.1.1,TCP,443.0,
1036,4.071058640661524,121.115.156.251,192.168.1.1,ICMP,,
809,4.3416911361532025,151.192.30.198,192.168.1.1,TCP,,53.0
948,3.700821040267565,232.65.15.221,192.168.1.1,UDP,,
1053,2.2624368222803524,233.90.158.86,192.168.1.1,TCP,,
1351,3.1371895407367063,226.222.54.98,192.168.1.1,ICMP,443.0,
978,4.962917659653607,84.247.70.9,192.168.1.1,ICMP,80.0,53.0
1083,2.5470454959441287,159.103.131.78,192.168.1.1,TCP,80.0,
290,3.349047487490631,150.168.195.174,192.168.1.1,ICMP,,53.0
899,1.608714244187936,197.195.220.45,192.168.1.1,UDP,,
865,4.876412704160821,20.80.61.175,192.168.1.1,TCP,8080.0,53.0
1432,1.8394056832261907,142.110.63.56,192.168.1.1,ICMP,,
820,2.4138190563320965,50.65.102.6,192.168.1.1,ICMP,,
1132,2.364460783607375,16.215.73.45,192.168.1.1,ICMP,,53.0
561,1.137106096465237,247.212.102.45,192.168.1.1,ICMP,443.0,53.0
613,2.6449804454157446,181.7.52.230,192.168.1.1,TCP,443.0,
811,4.1982890446348575,22.50.251.208,192.168.1.1,ICMP,,53.0
1197,1.040204235573646,251.41.197.233,192.168.1.1,UDP,,53.0
531,1.2048611970744163,21.227.96.211,192.168.1.1,TCP,,
781,4.872493067535112,87.159.144.107,192.168.1.1,UDP,,
348,3.6798445000207676,14.33.205.58,192.168.1.1,UDP,443.0,53.0
1081,3.651536887009202,143.73.111.50,192.168.1.1,TCP,,53.0
104,1.4928350354399138,178.29.244.208,192.168.1.1,ICMP,443.0,53.0
600,2.062812855603882,49.223.208.132,192.168.1.1,TCP,443.0,53.0
