packet_size,request_rate,source_ip,destination_ip,protocol_type
426,7.150600242724623,248.47.16.91,192.168.1.1,TCP
841,7.148587446068751,252.168.235.34,192.168.1.1,ICMP
640,5.824418034539492,125.188.78.172,192.168.1.1,TCP
1496,9.291165991471138,240.190.37.202,192.168.1.1,ICMP
1356,7.687420759447421,227.215.13.82,192.168.1.1,UDP
520,0.5232828138063274,102.194.217.249,192.168.1.1,ICMP
568,3.193581031300401,45.247.229.181,192.168.1.1,ICMP
285,9.11091207727701,155.49.173.230,192.168.1.1,UDP
1268,7.1367816237381785,149.5.93.93,192.168.1.1,ICMP
1219,7.530804892185446,168.74.125.90,192.168.1.1,UDP
454,3.3462268665539634,78.222.146.185,192.168.1.1,UDP
991,0.7269707142560009,153.180.98.4,192.168.1.1,ICMP
559,1.910645238321211,83.242.216.247,192.168.1.1,TCP
930,6.372838010106177,63.92.114.30,192.168.1.1,TCP
1371,9.340037040042327,157.153.114.25,192.168.1.1,ICMP
421,0.7833857054636089,53.119.74.193,192.168.1.1,TCP
1078,7.2688289557670425,225.180.189.82,192.168.1.1,TCP
721,7.3842726333540485,14.228.195.111,192.168.1.1,TCP
1236,9.044326560446917,41.193.100.166,192.168.1.1,TCP
904,5.621149782166131,89.226.126.183,192.168.1.1,ICMP
1093,1.5141395582390544,158.42.146.255,192.168.1.1,ICMP
1073,8.858349224132928,10.89.30.93,192.168.1.1,TCP
1266,9.037646406063605,164.113.178.80,192.168.1.1,UDP
1397,7.163191122052031,9.210.9.210,192.168.1.1,UDP
832,5.525252090863432,241.81.22.38,192.168.1.1,TCP
1078,9.004800896440752,144.231.98.200,192.168.1.1,ICMP
909,5.586498158483436,175.3.140.54,192.168.1.1,UDP
1348,3.681339755109408,219.186.33.152,192.168.1.1,TCP
884,8.299694156560184,173.116.193.88,192.168.1.1,ICMP
1207,2.0773809853511658,56.196.90.197,192.168.1.1,UDP
196,7.963518782325933,73.22.35.153,192.168.1.1,TCP
1166,7.076608583281658,132.81.215.35,192.168.1.1,TCP
630,5.299254113133856,237.225.206.175,192.168.1.1,ICMP
770,5.132619195575937,135.212.52.5,192.168.1.1,ICMP
591,8.583859673324158,33.43.250.74,192.168.1.1,TCP
1208,4.093166075718307,220.172.76.204,192.168.1.1,TCP
1378,2.805644350491976,255.177.41.103,192.168.1.1,TCP
100,1.9182534058897616,122.56.30.198,192.168.1.1,TCP
276,3.243571719940249,37.38.231.2,192.168.1.1,TCP
221,2.138089841985105,64.191.26.87,192.168.1.1,UDP
1212,5.141411120625443,223.118.129.251,192.168.1.1,TCP
978,9.657593210435781,31.213.94.146,192.168.1.1,UDP
1165,0.11067848195045706,64.185.100.114,192.168.1.1,UDP
832,6.478505742820716,33.62.56.214,192.168.1.1,ICMP
200,2.2809598878280424,113.121.100.26,192.168.1.1,UDP
579,7.065808710877875,227.122.159.178,192.168.1.1,ICMP
95,8.453656549159618,156.107.224.128,192.168.1.1,ICMP
465,0.40728158627231514,140.124.112.226,192.168.1.1,UDP
548,1.595556101190864,86.12.199.47,192.168.1.1,ICMP
407,3.6287266468877855,237.124.1.169,192.168.1.1,ICMP
1323,4.393406600313813,28.122.119.188,192.168.1.1,ICMP
493,2.248503532577535,235.217.166.175,192.168.1.1,UDP
726,7.742493130503318,96.177.80.57,192.168.1.1,TCP
528,4.572457826846853,158.249.156.13,192.168.1.1,ICMP
1227,1.2996576024280835,145.45.175.45,192.168.1.1,TCP
580,8.423353254771108,197.115.137.231,192.168.1.1,UDP
442,0.9837744835375642,24.6.14.66,192.168.1.1,ICMP
339,2.304486042040102,115.224.119.168,192.168.1.1,TCP
862,2.6929880884104964,111.37.40.133,192.168.1.1,UDP
1374,4.0837488576614,22.63.174.246,192.168.1.1,UDP
151,9.260858040437517,134.214.79.125,192.168.1.1,TCP
1237,6.897247964928156,120.153.110.141,192.168.1.1,UDP
899,3.568993491081039,201.217.241.137,192.168.1.1,ICMP
306,9.711038641717831,202.116.163.205,192.168.1.1,UDP
493,0.6326162724196518,25.176.206.75,192.168.1.1,ICMP
78,0.8191950252932343,121.178.109.112,192.168.1.1,TCP
187,3.6032328775547886,220.122.161.121,192.168.1.1,TCP
567,9.679690711560244,172.12.107.71,192.168.1.1,UDP
613,9.214213881263236,191.22.40.89,192.168.1.1,ICMP
977,5.167581691949459,64.131.2.236,192.168.1.1,ICMP
182,7.623713722730237,201.211.185.203,192.168.1.1,UDP
1333,2.146454414229489,174.247.27.101,192.168.1.1,ICMP
638,5.608487316572422,161.27.172.54,192.168.1.1,ICMP
469,7.157007271539159,53.29.123.138,192.168.1.1,TCP
732,4.614830395376426,144.172.157.75,192.168.1.1,UDP
986,1.6006784078032514,201.89.28.104,192.168.1.1,TCP
1278,1.606934254532491,19.98.232.25,192.168.1.1,ICMP
819,2.040851778858438,90.238.211.39,192.168.1.1,TCP
1374,1.7307028456696634,35.14.106.208,192.168.1.1,ICMP
1060,4.3051263008733285,214.91.161.99,192.168.1.1,ICMP
656,6.8796195407702125,212.238.4.158,192.168.1.1,TCP
377,7.989916111845134,167.119.65.161,192.168.1.1,UDP
1383,9.862918477053585,188.122.226.211,192.168.1.1,TCP
863,6.873645866696949,158.44.42.38,192.168.1.1,TCP
1300,9.28464664518652,48.79.118.113,192.168.1.1,ICMP
874,7.968448347077944,157.176.175.103,192.168.1.1,ICMP
778,6.87762114471423,217.30.202.56,192.168.1.1,UDP
671,8.345353425222036,14.29.207.188,192.168.1.1,TCP
767,8.509716538526318,152.89.167.4,192.168.1.1,UDP
177,5.395739322053314,122.204.93.122,192.168.1.1,TCP
416,2.613779170323335,143.13.103.190,192.168.1.1,TCP
548,9.37899952266803,115.76.18.150,192.168.1.1,TCP
640,5.113997229225031,234.109.39.127,192.168.1.1,TCP
964,8.934775651163012,97.222.228.36,192.168.1.1,TCP
790,5.994191191469638,211.198.164.36,192.168.1.1,UDP
