packet_size,request_rate,ip.src,ip.dst,_ws.col.Protocol,tcp.dstport,udp.dstport
61,0.6263807337860705,20.218.225.131,192.168.1.1,UDP,,
85,0.3064344941894998,48.53.59.161,192.168.1.1,TCP,394.0,742.0
45,0.6496221133303917,253.228.201.60,192.168.1.1,TCP,163.0,
97,0.2144163212941908,237.227.220.159,192.168.1.1,UDP,,248.0
99,0.7594993895804519,112.188.10.238,192.168.1.1,TCP,,584.0
47,0.5139321525364318,160.212.122.30,192.168.1.1,UDP,145.0,
80,0.4736195660515904,103.127.104.76,192.168.1.1,TCP,,
67,0.28503568426347475,12.22.251.236,192.168.1.1,TCP,,
74,0.9732592461834422,201.190.14.35,192.168.1.1,TCP,,342.0
69,0.5669941621680318,61.192.121.64,192.168.1.1,UDP,,960.0
64,0.6221160120382621,106.182.55.234,192.168.1.1,TCP,165.0,
100,0.2418675736950542,184.255.138.253,192.168.1.1,UDP,81.0,
96,0.936875631412548,84.18.218.129,192.168.1.1,UDP,922.0,370.0
49,0.325528491701195,173.114.40.120,192.168.1.1,TCP,,
69,0.9248267536705032,213.122.77.69,192.168.1.1,TCP,,811.0
67,0.3005986692991514,67.58.15.159,192.168.1.1,TCP,110.0,884.0
82,0.27796544995919903,58.71.124.244,192.168.1.1,TCP,161.0,64.0
76,0.9964045483009466,240.245.174.93,192.168.1.1,UDP,973.0,735.0
68,0.1457918893085953,29.245.169.30,192.168.1.1,UDP,101.0,712.0
85,0.9163824871326365,101.242.57.211,192.168.1.1,TCP,,539.0
93,0.19598664545091335,79.235.111.245,192.168.1.1,TCP,,
71,0.2611045271450372,42.248.232.52,192.168.1.1,UDP,984.0,916.0
62,0.4498006643030432,161.232.255.179,192.168.1.1,TCP,695.0,686.0
62,0.12814514628779092,106.244.100.61,192.168.1.1,UDP,924.0,788.0
91,0.7060461783747396,117.230.104.163,192.168.1.1,TCP,,
67,0.3375220221736982,59.203.55.164,192.168.1.1,UDP,,
66,0.17606492399531926,116.113.72.131,192.168.1.1,UDP,,42.0
43,0.9504628990264472,117.86.112.72,192.168.1.1,UDP,340.0,243.0
65,0.4016141624461774,219.86.158.17,192.168.1.1,UDP,,
69,0.37151406942886467,104.121.249.237,192.168.1.1,UDP,,501.0
69,0.6768116119926978,159.109.96.57,192.168.1.1,UDP,324.0,
74,0.7695295557437606,199.209.51.122,192.168.1.1,UDP,821.0,
97,0.2687275791380291,143.80.168.174,192.168.1.1,TCP,54.0,324.0
44,0.8661377714853964,161.152.166.187,192.168.1.1,TCP,,
82,0.7812633402747782,249.182.98.194,192.168.1.1,UDP,,
62,0.11698657494640975,227.86.182.199,192.168.1.1,UDP,578.0,
73,0.586415264646822,104.10.195.200,192.168.1.1,TCP,,810.0
95,0.48879175793838514,77.118.68.229,192.168.1.1,TCP,54.0,286.0
69,0.7467503073758529,150.138.241.198,192.168.1.1,UDP,1024.0,
88,0.7747973227726367,175.166.240.238,192.168.1.1,UDP,661.0,586.0
98,0.9820287105803445,191.110.36.4,192.168.1.1,UDP,943.0,
96,0.991501851879037,61.197.224.65,192.168.1.1,UDP,592.0,457.0
45,0.356320480820866,53.152.92.121,192.168.1.1,TCP,25.0,
