packet_size,request_rate,source_ip,destination_ip,protocol_type
45,0.8708785300533971,140.212.113.216,192.168.1.1,UDP
97,0.5821114409578008,173.228.25.192,192.168.1.1,TCP
95,0.6639809383367897,173.177.64.95,192.168.1.1,UDP
92,0.201067753427564,237.136.75.237,192.168.1.1,UDP
70,0.9644410648081423,219.98.203.114,192.168.1.1,TCP
63,0.5856624668228707,49.151.43.12,192.168.1.1,TCP
95,0.9015744624590943,141.250.192.254,192.168.1.1,TCP
43,0.18088498264700936,34.56.148.38,192.168.1.1,TCP
41,0.8677924848749398,249.155.142.23,192.168.1.1,UDP
91,0.6563421341858279,195.35.97.64,192.168.1.1,UDP
60,0.582526521589377,167.233.77.18,192.168.1.1,TCP
77,0.30438504300243485,87.185.207.215,192.168.1.1,UDP
84,0.18452345294163627,240.210.41.185,192.168.1.1,UDP
46,0.7100638530129775,225.160.91.174,192.168.1.1,TCP
59,0.9566909905702807,83.231.195.72,192.168.1.1,TCP
92,0.5965930284689933,90.115.130.76,192.168.1.1,UDP
69,0.18533465459015028,3.5.122.117,192.168.1.1,UDP
48,0.7198655630902568,218.112.18.136,192.168.1.1,TCP
52,0.8768722505644202,32.91.26.158,192.168.1.1,UDP
62,0.3674538685556178,159.106.45.210,192.168.1.1,TCP
43,0.6157547090088509,144.255.79.128,192.168.1.1,UDP
80,0.11492787583470992,203.5.140.49,192.168.1.1,TCP
50,0.896739256644388,171.107.45.182,192.168.1.1,UDP
70,0.49708300212477075,35.191.124.207,192.168.1.1,TCP
57,0.9487033270957769,75.31.214.237,192.168.1.1,TCP
85,0.8808224320455338,58.67.225.213,192.168.1.1,UDP
79,0.1161190902935811,235.236.75.221,192.168.1.1,TCP
52,0.12762406126490008,6.206.42.87,192.168.1.1,TCP
51,0.4768431620046,93.215.51.38,192.168.1.1,UDP
53,0.4286890531363793,188.153.1.73,192.168.1.1,UDP
65,0.22297541135088972,130.147.155.255,192.168.1.1,TCP
83,0.30324190305311116,41.41.231.191,192.168.1.1,TCP
100,0.5390427345244727,99.134.248.57,192.168.1.1,TCP
88,0.37919824956929027,34.12.37.146,192.168.1.1,UDP
100,0.5870325489957189,91.59.246.124,192.168.1.1,TCP
63,0.508694354860702,99.218.171.116,192.168.1.1,TCP
41,0.7132347794053925,6.78.117.152,192.168.1.1,UDP
99,0.6892757187709988,36.63.150.169,192.168.1.1,TCP
41,0.2591150706019742,204.68.123.90,192.168.1.1,TCP
46,0.6295610601593669,17.209.245.132,192.168.1.1,TCP
