packet_size,request_rate,source_ip,destination_ip,protocol_type
74,456.6202541057451,81.225.240.25,192.168.1.1,TCP
74,683.9232883973491,190.167.39.43,192.168.1.1,TCP
71,839.1077665420526,59.4.239.2,192.168.1.1,TCP
47,342.14425360827136,117.108.82.50,192.168.1.1,TCP
77,304.4357680713507,183.183.90.42,192.168.1.1,TCP
63,716.2492808661127,2.55.146.10,192.168.1.1,TCP
70,546.8285167756808,89.170.48.8,192.168.1.1,TCP
49,134.754347327409,111.122.126.26,192.168.1.1,TCP
89,807.2770284136594,252.190.140.3,192.168.1.1,TCP
48,229.34082306765345,66.231.202.27,192.168.1.1,TCP
60,882.3771680947475,43.123.38.18,192.168.1.1,TCP
51,339.3523371057803,209.145.40.30,192.168.1.1,TCP
81,393.5461288292358,139.3.50.37,192.168.1.1,TCP
46,824.4532682455458,208.180.123.38,192.168.1.1,TCP
71,156.25888952819966,108.103.198.23,192.168.1.1,TCP
49,240.72860745501868,84.205.73.9,192.168.1.1,TCP
58,563.5244120913885,158.100.106.21,192.168.1.1,TCP
71,133.3874375490392,4.174.167.46,192.168.1.1,TCP
89,714.9548834141673,105.14.60.22,192.168.1.1,TCP
82,658.5963010004808,230.252.155.40,192.168.1.1,TCP
94,630.7383257548726,11.124.26.49,192.168.1.1,TCP
51,307.0260565263611,54.97.78.35,192.168.1.1,TCP
97,494.9006174538554,114.113.213.27,192.168.1.1,TCP
66,924.8216417087003,211.61.12.50,192.168.1.1,TCP
65,753.7984396331544,188.36.35.19,192.168.1.1,TCP
73,732.977642283999,147.155.71.3,192.168.1.1,TCP
89,684.6883958015248,247.49.84.32,192.168.1.1,TCP
97,189.5073904533595,49.205.251.35,192.168.1.1,TCP
77,396.9435981932764,1.197.35.7,192.168.1.1,TCP
100,869.7268090939964,231.32.241.31,192.168.1.1,TCP
64,825.8345879008905,255.14.155.39,192.168.1.1,TCP
43,310.6845632937145,130.44.166.28,192.168.1.1,TCP
82,361.53184356428903,210.183.9.15,192.168.1.1,TCP
89,623.8344334820407,169.137.114.32,192.168.1.1,TCP
60,315.08845624988135,137.178.231.36,192.168.1.1,TCP
46,879.3642834547554,24.222.145.6,192.168.1.1,TCP
78,923.3036845578075,133.203.109.31,192.168.1.1,TCP
84,345.3771675307945,4.7.79.7,192.168.1.1,TCP
67,280.5231995321225,158.110.215.46,192.168.1.1,TCP
83,231.05010061731,50.139.104.26,192.168.1.1,TCP
90,621.0395879236552,71.83.176.34,192.168.1.1,TCP
99,901.5717832207117,151.57.50.31,192.168.1.1,TCP
89,469.31212407224484,53.163.159.2,192.168.1.1,TCP
80,456.6357616456322,230.108.156.32,192.168.1.1,TCP
91,177.5600092904821,32.222.120.37,192.168.1.1,TCP
53,165.07016991320972,121.213.169.10,192.168.1.1,TCP
98,371.06686371888463,35.159.114.10,192.168.1.1,TCP
44,121.90999953305257,171.225.179.47,192.168.1.1,TCP
48,864.6474656637046,51.77.179.50,192.168.1.1,TCP
78,156.21616259462195,10.65.114.16,192.168.1.1,TCP
100,525.7312391860237,202.74.229.12,192.168.1.1,TCP
88,898.0933235405236,228.165.35.5,192.168.1.1,TCP
98,703.0671290756965,200.154.211.39,192.168.1.1,TCP
51,501.9459639511828,212.82.254.50,192.168.1.1,TCP
82,702.7822166807156,100.86.250.36,192.168.1.1,TCP
92,685.5124094864914,29.66.153.43,192.168.1.1,TCP
59,478.539514462343,90.205.147.49,192.168.1.1,TCP
60,673.0044588342474,211.61.28.16,192.168.1.1,TCP
47,992.8417086884479,168.30.37.13,192.168.1.1,TCP
80,145.26855308466477,56.209.75.49,192.168.1.1,TCP
76,552.6886866854873,112.226.31.7,192.168.1.1,TCP
86,986.4617261564849,42.239.187.38,192.168.1.1,TCP
76,948.8773819916526,245.143.147.44,192.168.1.1,TCP
58,615.00486641998,29.110.218.48,192.168.1.1,TCP
42,732.2185209310366,200.95.79.37,192.168.1.1,TCP
87,586.6789816916771,137.78.151.17,192.168.1.1,TCP
77,858.3303541212508,147.49.121.12,192.168.1.1,TCP
81,641.094016647858,181.34.110.7,192.168.1.1,TCP
70,492.99814802175564,205.194.153.2,192.168.1.1,TCP
43,113.89162973956327,83.192.153.48,192.168.1.1,TCP
46,423.4329905004324,9.180.188.13,192.168.1.1,TCP
90,968.085082288565,225.58.224.32,192.168.1.1,TCP
62,136.8891688891925,229.63.11.33,192.168.1.1,TCP
61,105.61118339388177,144.195.186.23,192.168.1.1,TCP
97,666.5988110532829,205.247.119.5,192.168.1.1,TCP
82,277.15419785279107,231.246.27.23,192.168.1.1,TCP
81,204.4899212632187,170.16.164.29,192.168.1.1,TCP
95,814.1877254020259,122.248.215.16,192.168.1.1,TCP
83,628.446463404549,4.242.28.32,192.168.1.1,TCP
49,656.5307391394479,51.105.185.26,192.168.1.1,TCP
71,731.81286867918,152.175.118.32,192.168.1.1,TCP
74,393.9970990580897,253.64.159.20,192.168.1.1,TCP
100,234.9964736073953,171.111.244.19,192.168.1.1,TCP
76,297.96675074146947,60.243.149.25,192.168.1.1,TCP
74,809.7581863296099,177.63.114.4,192.168.1.1,TCP
76,121.4724494515087,169.63.37.36,192.168.1.1,TCP
65,354.62374415312604,35.117.4.5,192.168.1.1,TCP
95,186.52401892922546,169.234.59.4,192.168.1.1,TCP
66,857.6483452482104,186.23.103.19,192.168.1.1,TCP
48,851.7631733833848,35.103.147.19,192.168.1.1,TCP
43,457.9455613239667,207.142.19.25,192.168.1.1,TCP
43,339.3456484677023,95.203.7.46,192.168.1.1,TCP
79,626.7407987521822,80.81.170.31,192.168.1.1,TCP
83,113.31177221881616,90.119.55.40,192.168.1.1,TCP
45,892.6077429087384,231.254.14.39,192.168.1.1,TCP
45,843.6667462734495,142.161.79.46,192.168.1.1,TCP
72,838.9902966502548,31.58.249.45,192.168.1.1,TCP
83,286.0695165581458,213.150.137.47,192.168.1.1,TCP
59,567.0589454213947,89.142.167.29,192.168.1.1,TCP
80,507.51689268017276,149.143.132.14,192.168.1.1,TCP
95,596.1743233028296,187.169.161.22,192.168.1.1,TCP
52,348.41005584511345,119.52.236.15,192.168.1.1,TCP
65,579.7343036039433,149.34.172.2,192.168.1.1,TCP
41,809.3630221775804,149.147.20.1,192.168.1.1,TCP
96,476.82927463984674,255.93.121.39,192.168.1.1,TCP
57,784.02245485876,89.195.205.16,192.168.1.1,TCP
41,289.54157040790165,163.238.132.45,192.168.1.1,TCP
77,909.5133872368515,109.115.247.46,192.168.1.1,TCP
71,185.7219762975885,84.112.199.30,192.168.1.1,TCP
81,302.03672556266815,50.79.172.10,192.168.1.1,TCP
93,816.3642192035487,46.241.246.33,192.168.1.1,TCP
99,429.1732086529664,214.153.106.19,192.168.1.1,TCP
61,631.4543582959234,139.24.50.50,192.168.1.1,TCP
43,774.8240931411104,106.203.19.12,192.168.1.1,TCP
100,381.5784869197074,71.191.23.10,192.168.1.1,TCP
56,845.7578168042288,119.152.150.49,192.168.1.1,TCP
60,864.703949388351,25.48.236.40,192.168.1.1,TCP
85,378.2531787169164,1.193.143.31,192.168.1.1,TCP
80,177.99025327147862,147.38.134.25,192.168.1.1,TCP
95,904.6669964252142,154.243.242.12,192.168.1.1,TCP
66,701.2827556232445,168.65.157.19,192.168.1.1,TCP
85,808.8701192558212,169.149.132.6,192.168.1.1,TCP
77,809.5129160871129,105.93.80.47,192.168.1.1,TCP
92,630.837932162582,46.78.5.2,192.168.1.1,TCP
41,420.0691301109589,128.188.163.20,192.168.1.1,TCP
53,144.6406573096499,132.241.173.43,192.168.1.1,TCP
78,876.9273930106884,183.48.102.29,192.168.1.1,TCP
52,781.6170804745025,21.75.7.21,192.168.1.1,TCP
71,559.7357733265997,129.123.174.21,192.168.1.1,TCP
91,370.5305929483653,13.132.54.49,192.168.1.1,TCP
54,551.0320552851276,238.104.191.28,192.168.1.1,TCP
98,743.3703283664009,20.5.71.49,192.168.1.1,TCP
57,989.0079469272736,236.250.62.23,192.168.1.1,TCP
65,768.4349106668644,133.9.211.37,192.168.1.1,TCP
98,376.7530160718356,185.7.26.40,192.168.1.1,TCP
88,913.7402763392414,8.73.49.31,192.168.1.1,TCP
68,793.9252605659185,228.245.253.29,192.168.1.1,TCP
90,832.149858353174,180.203.174.26,192.168.1.1,TCP
41,145.011651495083,92.4.112.17,192.168.1.1,TCP
85,971.4682209550353,41.255.12.16,192.168.1.1,TCP
77,659.8592822968196,3.211.109.45,192.168.1.1,TCP
71,970.9896992034501,99.237.54.11,192.168.1.1,TCP
68,689.7028292508527,6.133.27.13,192.168.1.1,TCP
72,150.3438744785072,175.254.3.12,192.168.1.1,TCP
59,803.4223838280632,10.191.112.4,192.168.1.1,TCP
75,779.6594968593889,9.203.250.35,192.168.1.1,TCP
65,632.6940547276135,12.137.127.35,192.168.1.1,TCP
76,616.3252758908693,124.8.40.43,192.168.1.1,TCP
79,105.55422892305353,125.166.164.31,192.168.1.1,TCP
77,780.316045702547,104.243.137.10,192.168.1.1,TCP
73,423.0222214448986,126.238.161.44,192.168.1.1,TCP
100,202.43917449157914,130.59.151.19,192.168.1.1,TCP
52,827.8272499175301,151.132.143.15,192.168.1.1,TCP
95,455.77047263918735,70.47.187.9,192.168.1.1,TCP
90,119.98889074186891,59.81.175.23,192.168.1.1,TCP
88,629.1887243046932,71.38.218.47,192.168.1.1,TCP
86,584.1958010287776,146.203.226.26,192.168.1.1,TCP
77,337.0203322896423,222.125.217.2,192.168.1.1,TCP
55,300.11359478667816,104.86.171.5,192.168.1.1,TCP
75,247.81393635477755,27.248.105.44,192.168.1.1,TCP
61,279.8990547606073,176.229.31.17,192.168.1.1,TCP
100,979.4134563596656,83.105.44.13,192.168.1.1,TCP
65,726.7755376226003,102.164.189.37,192.168.1.1,TCP
80,720.8436525852201,197.20.228.22,192.168.1.1,TCP
77,600.7384151302186,73.187.229.4,192.168.1.1,TCP
52,801.1328314452546,53.132.165.22,192.168.1.1,TCP
78,306.23915178869174,104.46.146.20,192.168.1.1,TCP
75,198.54345669543858,238.55.214.1,192.168.1.1,TCP
93,448.8563043661565,211.255.44.32,192.168.1.1,TCP
58,695.6548848508812,225.202.166.9,192.168.1.1,TCP
96,365.9324148409734,2.11.180.1,192.168.1.1,TCP
75,926.3922488376019,222.54.31.42,192.168.1.1,TCP
77,955.1587843163211,149.254.175.30,192.168.1.1,TCP
69,307.7763788014196,51.151.17.14,192.168.1.1,TCP
87,376.50025215021486,147.92.55.2,192.168.1.1,TCP
52,845.9731670433874,1.104.133.15,192.168.1.1,TCP
67,422.36938227186397,232.69.88.5,192.168.1.1,TCP
65,452.55756751657174,25.62.13.32,192.168.1.1,TCP
98,347.49123879500854,190.198.189.12,192.168.1.1,TCP
75,991.7119672812584,159.57.163.41,192.168.1.1,TCP
41,851.7002179260563,178.202.250.29,192.168.1.1,TCP
47,819.4734154670621,241.135.69.21,192.168.1.1,TCP
98,594.681639114341,94.169.167.5,192.168.1.1,TCP
45,522.0497382436338,147.109.108.44,192.168.1.1,TCP
85,211.83373351389224,69.154.41.41,192.168.1.1,TCP
98,484.94751018532276,90.30.41.37,192.168.1.1,TCP
40,879.5419087581598,171.4.67.37,192.168.1.1,TCP
54,803.4490789853138,13.23.23.10,192.168.1.1,TCP
75,633.8334182528905,252.120.213.12,192.168.1.1,TCP
62,233.6877475986285,108.227.141.40,192.168.1.1,TCP
45,535.8948378534735,28.163.2.30,192.168.1.1,TCP
92,825.1174961085046,157.23.93.24,192.168.1.1,TCP
57,926.9443704655264,92.161.190.29,192.168.1.1,TCP
51,370.2232615408526,177.84.35.33,192.168.1.1,TCP
45,365.8561445449046,219.112.211.34,192.168.1.1,TCP
96,144.88977688687663,217.75.181.30,192.168.1.1,TCP
59,143.36482533490224,136.22.87.34,192.168.1.1,TCP
45,616.3242131017139,78.216.137.22,192.168.1.1,TCP
62,526.5619577449891,54.170.141.24,192.168.1.1,TCP
63,364.45587633577503,50.196.109.29,192.168.1.1,TCP
