packet_size,request_rate,source_ip,destination_ip,protocol_type,label
1118,8.408865394736683,255.74.169.206,192.168.1.1,UDP,normal
1065,1.9279152792804153,5.144.144.87,192.168.1.1,UDP,normal
216,4.61491017460449,86.254.78.102,192.168.1.1,ICMP,normal
926,9.604364171737087,23.7.72.196,192.168.1.1,ICMP,normal
548,7.348914885382586,236.207.69.128,192.168.1.1,UDP,normal
1020,2.609373550062423,63.123.87.238,192.168.1.1,ICMP,normal
787,9.3615247140627,39.52.170.218,192.168.1.1,TCP,normal
1488,7.287842281820863,19.231.223.190,192.168.1.1,UDP,normal
1420,797.7434117523925,254.181.83.19,192.168.1.1,TCP,ddos
424,6.566116990556179,76.110.80.98,192.168.1.1,TCP,normal
1216,3.846526203452398,36.78.207.162,192.168.1.1,UDP,normal
1062,740.0245510737544,65.182.41.37,192.168.1.1,TCP,ddos
1215,8.487458541103319,196.38.93.167,192.168.1.1,ICMP,normal
565,163.90588999642264,186.56.52.18,192.168.1.1,TCP,ddos
772,207.00506505464972,219.109.104.14,192.168.1.1,TCP,ddos
484,309.251384200978,83.78.236.7,192.168.1.1,TCP,ddos
372,3.884822508001091,61.19.121.96,192.168.1.1,TCP,normal
69,0.9647326943583815,176.236.132.111,192.168.1.1,UDP,port_scan
1296,7.697756329922112,210.92.174.179,192.168.1.1,TCP,normal
474,3.5743331738346784,192.251.103.92,192.168.1.1,ICMP,normal
145,849.1991082807846,229.213.89.34,192.168.1.1,TCP,ddos
75,3.803200119162453,186.182.233.42,192.168.1.1,UDP,normal
1026,0.5012414840432199,60.11.241.247,192.168.1.1,ICMP,normal
510,7.343666292666281,166.104.180.45,192.168.1.1,ICMP,normal
837,4.23773145984465,188.156.99.240,192.168.1.1,TCP,normal
228,3.215819592630769,206.73.240.158,192.168.1.1,TCP,normal
59,0.640743187807649,253.16.65.95,192.168.1.1,UDP,port_scan
724,9.36093037590859,239.108.251.231,192.168.1.1,ICMP,normal
1075,0.15254044857133206,129.14.153.49,192.168.1.1,UDP,normal
460,236.60371463701318,35.154.17.3,192.168.1.1,TCP,ddos
606,795.4001626653353,169.234.45.19,192.168.1.1,TCP,ddos
79,474.4657573467285,188.92.40.16,192.168.1.1,TCP,ddos
753,4.873258413823149,24.146.224.206,192.168.1.1,UDP,normal
967,0.7526292057267767,32.7.251.41,192.168.1.1,ICMP,normal
77,0.7015800065791998,85.53.123.221,192.168.1.1,TCP,port_scan
407,8.76262806466851,195.117.69.95,192.168.1.1,TCP,normal
90,0.9492030259865442,116.142.30.62,192.168.1.1,UDP,port_scan
